UNITNO,LOCATION,TYPE,EASTING,NORTHING
F368,COOKES EAST WOOD,Footbridge,424541,541245
F369,PRESTON-LE-SKERNE,Footbridge,430394,524143
F372,THINFORD CLOSE,Footbridge,430367,534892
F373,STELL,Footbridge,430887,530922
F378,THE CARRS,Footbridge,433283,530101
F379,PARADISE FARM,Footbridge,431185,535964
F380,MILL RACE,Footbridge,433734,535726
F381,HOLBURN NO.1,Footbridge,419485,541603
F382,HOLBURN NO.2,Footbridge,419526,541690
F383,NICKY NACK,Footbridge,426531,536563
F384,EDDERACRES DENE,Footbridge,440592,539748
F385,EDDERACRES FARM,Footbridge,440242,539901
F386,PINFOLD,Footbridge,389378,537597
F387,WATERHOUSES COLLIERY,Footbridge,418520,540830
F388,BRYANS LEAP,Footbridge,417634,556983
F390,HAMSTERLEY PARK,Footbridge,414610,555667
F392,RELLEY MILL,Footbridge,425688,541858
F393,FLASS HALL FARM,Footbridge,420802,542435
F394,OUTBERRY BAT,Footbridge,388479,529550
F395,BANK TOP FARM,Footbridge,388363,530018
F396,SLEIGHTHOLME,Footbridge,395688,510649
F398,MIDDLE FORGE,Footbridge,422580,554069
F399,STONEDRASS,Footbridge,385262,539531
F405,PELAW WOOD,Footbridge,428570,542519
F410,RUMBY HILL COLLIERY,Footbridge,416407,534450
F411,SLEETBURN MILL,Footbridge,423429,541848
F412,NICKY NACK BECK,Footbridge,425941,537027
F415,PYE CLOSE,Footbridge,401954,535348
F418,SOUTH PARK,Footbridge,427706,537527
F421,OUSTERLEY FORD,Footbridge,419959,551181
F422,PEA WOOD,Footbridge,418397,553478
F423,NEW HOUSE,Footbridge,388691,529358
F425,SIX DAYS WORK,Footbridge,385533,539506
F426,LARTINGTON NO.1,Footbridge,401564,517600
F427,LARTINGTON NO.2,Footbridge,401430,517165
F428,WOLSINGHAM,Footbridge,406041,538059
F429,SUNNYSIDE FARM,Footbridge,405502,535698
F432,WILLINGTON NORTH DENE,Footbridge,419424,535589
F433,CHESTER MOOR,Footbridge,427351,549539
F434,HOLM HILL,Footbridge,427253,549304
F435,CROW HOUSE NO.1,Footbridge,438031,539645
F436,CROW HOUSE NO.2,Footbridge,438086,539833
F437,STONY BECK NO.1,Footbridge,390387,527762
F438,STONY BECK NO.2,Footbridge,390522,527721
F439,HOLLOWDENE,Footbridge,416603,534736
F440,THORNLEY BECK NO.1,Footbridge,412229,537073
F441,SHIELDROW COLLIERY NO.1,Footbridge,419143,553817
F442,SHIELDROW COLLIERY NO.2,Footbridge,419134,554011
F443,BYERS GREEN NO.1,Footbridge,422777,534027
F444,BYERS GREEN NO.2,Footbridge,422917,534057
F445,TUDHOE NO.1,Footbridge,425754,535197
F446,TUDHOE NO.2,Footbridge,425435,535029
F447,TUDHOE MILL,Footbridge,425256,535473
F448,TURSDALE BECK,Footbridge,429937,535583
F516,BLACK HURWORTH,Footbridge,441497,534261
F517,HEDLEYHOPE BURN,Footbridge,418919,542278
F518,COUNDON BURN,Footbridge,422979,530537
F519,BROOM,Footbridge,429423,531785
F520,FLOATERS MILL,Footbridge,431316,550721
F521,DEMESNE LANE,Footbridge,401830,519443
F523,LOW EWEHURST,Footbridge,414890,555546
F524,CROW HOWLE NO.2,Footbridge,410754,526225
F525,CROW HOWLE NO.3,Footbridge,410522,526279
F526,CROW HOWLE NO.4,Footbridge,410087,526584
F527,MONK HESLEDEN NO.1,Footbridge,445116,537177
F528,MONK HESLEDEN NO.2,Footbridge,445363,537112
F530,CROSSTHWAITE BECK,Footbridge,393409,525274
F531,HOLYWELL,Footbridge,425274,537273
F532,PARK,Footbridge,403879,514878
F534,BARFORTH CHAPEL,Footbridge,416352,516116
F536,ROSSLYN HOUSE,Footbridge,418573,526509
F537,LOW REDFORD,Footbridge,408019,530806
F538,HALL FARM,Footbridge,422701,534512
F539,ESCOMB FARM,Footbridge,419616,529537
F540,SEAHAM HALL,Footbridge,441939,550393
F541,VALENCE LODGE,Footbridge,385795,531293
F542,ISLAND FARM,Footbridge,433246,530383
F543,FLATTS WOOD,Footbridge,404587,516840
F544,RAVOCK CASTLE,Footbridge,394800,514772
F545,SPRINGWOOD,Footbridge,424212,535861
F546,BEAMISH HALL,Footbridge,420836,554647
F547,ROCK DENE,Footbridge,442547,549596
F548,WHITWELL BECK NO.2,Footbridge,429920,541349
F549,BILLINGSIDE WOOD,Footbridge,413276,553245
F550,CAUSEY MILL,Footbridge,420368,555171
F551,SCARGILL SCHOOL NO.2,Footbridge,403868,511194
F552,SIX LANDS WOOD,Footbridge,404280,511285
F556,SOUTH CHURCH NO.1,Footbridge,422077,528314
F557,SOUTH CHURCH NO.2,Footbridge,422343,528050
F558,MIDDLES END,Footbridge,406421,547233
F559,LYMINGTON,Footbridge,419075,541311
F562,NEWHOUSES,Footbridge,394524,519193
F563,PONTOP HALL,Footbridge,414969,553805
F564,THE HOLE,Footbridge,386017,538467
F567,SWINHOPEBURN,Footbridge,391028,537569
F568,STANHOPE DENE NO.5,Footbridge,398861,539877
F569,LYNN TERRACE,Footbridge,438478,539580
F571,HAWTHORN HIVE,Footbridge,444038,545930
F572,TWIZELL WOOD,Footbridge,422896,551452
F573,LEVELGATE SIKE,Footbridge,388051,538617
F574,RODDYMOOR NO.1,Footbridge,415543,537268
F575,LODGE FARM,Footbridge,421705,531316
F576,DEANERY,Footbridge,421654,528339
F577,COOPERATIVE TERRACE,Footbridge,407757,537464
F581,MIDDLETON BURN,Footbridge,394601,525341
F582,DELLWOOD,Footbridge,421399,529739
F583,OLD DURHAM COTTAGES,Footbridge,429323,541404
F584,TUDHOE NO.3,Footbridge,425906,534847
F585,TUDHOE COLLIERY,Footbridge,426328,535883
F588,THORNGARTH HILL,Footbridge,397253,519911
F589,WINDYSIDE,Footbridge,389972,537964
F590,DENE MOUTH,Footbridge,445514,540575
F591,FRIENDS MEETING HOUSE,Footbridge,401756,519431
F593,KEPIER QUARRIES,Footbridge,429254,544006
F595,LANGLEY PARK,Footbridge,421070,545392
F597,CRIMDON DENE,Footbridge,448617,536736
F598,SOUTH CAUSEY PARK,Footbridge,419561,555160
F602,HEIGHINGTON STATION COTTAGES,Footbridge,427094,522384
F603,WILLOUGHBY HALL,Footbridge,395545,518861
F604,ASHGILL BECK,Footbridge,381071,534822
F606,PONTBURN NO.2,Footbridge,414659,556177
F609,SALTWELL GILL,Footbridge,427372,539827
F610,THORNLEY COLLIERY,Footbridge,436803,539452
F611,SHIELD HURST,Footbridge,398468,541047
F612,STRUTHERS WOOD NO.1,Footbridge,414534,554799
F613,STRUTHERS WOOD NO.2,Footbridge,414608,554749
F614,OSMOND GLEN,Footbridge,399220,519968
F617,TILE SHED PLANTATION,Footbridge,433510,529482
F619,SKYER BECK,Footbridge,386793,528068
F620,TREES,Footbridge,397398,519098
F621,CAUSEY ARCH,Footbridge,420128,555897
F622,COOPER HOUSE,Footbridge,402373,519397
F624,CASSOP BOG,Footbridge,434203,538428
F625,DENEHURST,Footbridge,442293,545827
F626,NEWBIGGIN,Footbridge,391590,527154
F628,FOXTON NO.5,Footbridge,437824,525237
F629,HOLWICK HEAD,Footbridge,388903,528314
F630,HUNWICK,Footbridge,420308,532316
F631,OAKLEY GREEN,Footbridge,418529,526295
F634,RODDYMOOR NO.2,Footbridge,415850,537068
F637,HOPPER HOUSE,Footbridge,434664,526824
F638,PELAW WOOD BECK,Footbridge,428251,542428
F640,TURSDALE HOUSE,Footbridge,430018,536880
F641,LADLEY WOOD,Footbridge,404927,538580
F642,GREAT ISLE,Footbridge,430467,527023
F643,HOMER CARR,Footbridge,437883,526085
F645,HETT,Footbridge,427916,535958
F647,RODDYMOOR FARM,Footbridge,415525,536494
F648,STOCKLEY LANE,Footbridge,421447,537291
F649,WOODHAM FARM,Footbridge,428555,526846
F650,BRICK WORKS,Footbridge,427753,543567
F651,SEWAGE WORKS,Footbridge,427925,543405
F652,NEWFIELD,Footbridge,424422,551894
F654,SKERNE,Footbridge,433016,530018
F655,NETTLESWORTH HALL NO.2,Footbridge,425139,548486
F656,SACRISTON,Footbridge,424683,547924
F657,RAFFER DENE,Footbridge,435275,524309
F660,HASWELL,Footbridge,437577,542820
F661,FINCHALE,Footbridge,429649,547216
F662,HEADSHOPE DENE NO.2,Footbridge,441851,537350
F663,BECKSTONES WATH,Footbridge,397648,524210
F664,GLADDOW NO.2,Footbridge,413553,543306
F665,HENING SCAR,Footbridge,405141,511136
F668,OAKLEY CROSS,Footbridge,418031,526082
F669,STOCKLEY BECK,Footbridge,418573,538327
F673,CARRSIDES,Footbridge,429673,527356
F674,BOWES,Footbridge,398374,513099
F675,LEVY POOL,Footbridge,396796,515449
F682,KINGSGATE,Footbridge,427593,542107
F683,HORSLEY HEAD,Footbridge,396405,537378
F684,PRIMROSE SIDE FARM,Footbridge,423812,541356
F687,MIDDLES WOOD,Footbridge,420008,551840
F688,WHITE KIRKLEY,Footbridge,402423,535745
F689,KINGFISHER,Footbridge,428582,542044
F690,MIDDRIDGE GRANGE,Footbridge,424770,524945
F691,EGGLESTONE ABBEY NO.2,Footbridge,405783,515166
F692,WITTON DENE,Footbridge,423593,545323
F693,DIPTON,Footbridge,415765,554461
F694,OAKLEY GREEN NO.2,Footbridge,418379,526255
F695,KEPIER WOOD,Footbridge,429277,544447
F698,ESCOMB BRIDLEBRIDGE,Footbridge,419097,529624
F699,CRIME RIGG BRIDLEBRIDGE,Footbridge,435381,541478
F700,NABY,Footbridge,400720,517988
F702,COUNDON GRANGE,Footbridge,422564,528110
F703,POPLAR HOUSE FOOTBRIDGE,Footbridge,418399,529983
F704,LOW BARNS,Footbridge,416056,531752
F705,HIGH GARTH FARM,Footbridge,413853,531624
F706,CYCLEPATH REAR OF MIDDLEHAM WAY,,428316,526028
